Date,Open,High,Low,Close,Volume
01-03,24.412,24.67,24.24,24.584,82975200
01-04,25.1000004,27.620001,23.42,26.7800008,68157400
01-05,23.2339996,23.809999,22.85,23.6179992,92456100
01-06,23.7979996,24.139999,23.57,24.0259992,70306200
01-09,26.402,29.27,24.49,28.314,190353300
01-10,23.9759994,24.24,23.799999,24.1519998,99753300
01-11,24.362,24.77,24.09,24.634,59188900
01-12,24.552,26.73,23.1,26.004,55342500
01-13,25.246,27.34,23.85,26.642,93069800
01-17,24.566,26.57,23.23,25.902,100977700
01-18,23.276,23.57,23.08,23.472,99824600
01-19,23.2700004,23.450001,23.15,23.3900008,68342100
01-20,26.0899994,28.76,24.309999,27.8699998,62362400
01-23,23.66,23.75,23.6,23.72,72953200
01-24,23.183999,23.639999,22.879999,23.487999,54203000
01-25,22.768,22.9,22.68,22.856,54001900
01-26,23.4760002,23.889999,23.200001,23.7519994,69129100
01-27,24.43,24.67,24.27,24.59,52782500
01-30,25.1759996,27.719999,23.48,26.8719992,105314600
01-31,23.3679994,23.98,22.959999,23.7759998,48495300
02-01,22.7800002,23.139999,22.540001,23.0199994,64763300
02-02,23.0459996,23.219999,22.93,23.1619992,79519400
02-03,24.6060002,24.959999,24.370001,24.8419994,37816100
02-06,22.928,23.93,22.26,23.596,69410600
02-07,25.4399994,25.65,25.299999,25.5799998,68365000
02-08,25.148001,26.690001,24.120001,26.176001,73399300
02-09,24.846,25.23,24.59,25.102,83764700
02-10,22.8259994,23,22.709999,22.9419998,92877400
02-13,24.9220006,25.27,24.690001,25.1540002,53012700
02-14,23.7080004,23.870001,23.6,23.8160008,85789200
02-15,26.2680004,29.940001,23.82,28.7160008,53210600
02-16,24.9779994,26.49,23.969999,25.9859998,80706100
02-17,23.8299994,24.76,23.209999,24.4499998,40672000
02-21,25.004,26.51,24,26.008,44828600
02-22,23.288,23.99,22.82,23.756,103630900
02-23,24.5759996,25.049999,24.26,24.8919992,55317100
02-24,25.2919994,26.27,24.639999,25.9439998,61622000
02-27,22.8559998,23.450001,22.459999,23.2520006,137774800
02-28,23.4679996,23.809999,23.24,23.6959992,116035100
03-01,24.2960004,24.620001,24.08,24.5120008,58587800
03-02,22.9660006,23.23,22.790001,23.1420002,139331300
03-03,25.2780006,25.41,25.190001,25.3660002,79722300
03-06,23.5940002,24.559999,22.950001,24.2379994,74140100
03-07,26.3360006,26.66,26.120001,26.5520002,62636900
03-08,25.5520006,27.82,24.040001,27.0640002,150501200
03-09,23.266,23.41,23.17,23.362,85399600
03-10,24.062,25.76,22.93,25.194,55172500
03-13,24.4879996,26.959999,22.84,26.1359992,62589000
03-14,22.863999,22.959999,22.799999,22.927999,161930900
03-15,25.5580004,29.620001,22.85,28.2660008,61307900
03-16,24.0620006,24.35,23.870001,24.2540002,69707500
03-17,25.616,29.18,23.24,27.992,54478800
03-20,25.9020002,26.459999,25.530001,26.2739994,105206600
03-21,24.5899996,25.219999,24.17,25.0099992,143947500
03-22,24.3680006,25.49,23.620001,25.1160002,60897200
